phi, e_xx, e_yy, e_zz, e_yz, e_xz, e_xy
129, 0.007040483895080525, -0.0037207500122190093, -0.0038819309610019764, 0.0, 0.0, -0.004464402912604057
130, 0.007055780200789851, -0.0038145941389650406, -0.003815413945062185, 0.0, 0.0, -0.004222727677821783
131, 0.0070602478905787205, -0.003898596946463118, -0.003747734717073983, 0.0, 0.0, -0.003981109457476398
132, 0.007053961256297493, -0.003972808499396278, -0.003678913892785838, 0.0, 0.0, -0.0037401209332360436
133, 0.00703702144782291, -0.004037305427113631, -0.003608972435687513, 0.0, 0.0, -0.0035003295451201616
134, 0.007009556170250882, -0.0040921906282923495, -0.003537931650624375, 0.0, 0.0, -0.003262295964542754
135, 0.006971719309108765, -0.004137592903706211, -0.0034658131773077443, 0.0, 0.0, -0.003026572586970286
136, 0.006923690484621949, -0.0041736665181332615, -0.0033926389837232182, 0.0, 0.0, -0.002793702048316627
137, 0.0068656745362637795, -0.004200590692629229, -0.0033184313594390204, 0.0, 0.0, -0.002564215769132357
138, 0.006797900939008627, -0.0042185690285842315, -0.0032432129088163703, 0.0, 0.0, -0.002338632530568958
139, 0.006720623152894986, -0.0042278288651672125, -0.003167006544123985, 0.0, 0.0, -0.0021174570860112898
140, 0.006634117907687847, -0.0042286205719449755, -0.00308983547855878, 0.0, 0.0, -0.0019011788121734976
141, 0.006538684424607386, -0.004221216778640464, -0.003011723219174895, 0.0, 0.0, -0.001690270403344994
142, 0.0064346435772631785, -0.004205911544166974, -0.0029326935597232336, 0.0, 0.0, -0.0014851866123548117
143, 0.006322336994099426, -0.004183019467241437, -0.0028527705734036376, 0.0, 0.0, -0.0012863630416939215
144, 0.0062021261048170245, -0.004152874741039964, -0.002771978605531977, 0.0, 0.0, -0.0010942149880977176
145, 0.006074391133391177, -0.004115830154511998, -0.0026903422661243084, 0.0, 0.0, -0.0009091363437436536
146, 0.0059395300404497765, -0.004072256043115647, -0.0026078864224004504, 0.0, 0.0, -0.000731498557063934
147, 0.005797957417916036, -0.0040225391918752365, -0.002524636191209166, 0.0, 0.0, -0.0005616496560090965
148, 0.005650103338949515, -0.003967081693792561, -0.002440616931377337, 0.0, 0.0, -0.0003999133364271981
149, 0.005496412166342046, -0.0039062997667658455, -0.0023558542359854253, 0.0, 0.0, -0.0002465881180443334
150, 0.005337341322638377, -0.0038406225322836114, -0.002270373924571558, 0.0, 0.0, -0.00010194657034670283
151, 0.005173360025356387, -0.003770490759265632, -0.0021842020352666625, 0.0, 0.0, 3.37653895273096e-05
152, 0.005004947990776729, -0.003696355576518341, -0.0020973648168629826, 0.0, 0.0, 0.00016032912497444295
153, 0.004832594109857916, -0.0036186771573578948, -0.002009888720818459, 0.0, 0.0, 0.00027755383248527493
154, 0.004656795099908796, -0.003537923380030352, -0.0019218003931993426, 0.0, 0.0, 0.0003852770170741735
155, 0.004478054135716758, -0.0034545684676245162, -0.0018331266665635615, 0.0, 0.0, 0.0004833648892917317
156, 0.004296879463885668, -0.0033690916112288608, -0.0017438945517872484, 0.0, 0.0, 0.000571712682746338
157, 0.0041137830041838176, -0.0032819755801300476, -0.0016541312298369727, 0.0, 0.0, 0.000650244891279488
158, 0.003929278941736929, -0.003193705322885462, -0.001563864043490162, 0.0, 0.0, 0.0007189154251600086
159, 0.0037438823139265063, -0.0031047665631273066, -0.0014731204890062106, 0.0, 0.0, 0.0007777076858845627
160, 0.0035581075958678126, -0.003015644393969825, -0.001381928207750872, 0.0, 0.0, 0.0008266345593950541
161, 0.0033724672883454496, -0.0029268218748949326, -0.0012903149777764107, 0.0, 0.0, 0.0008657383277475062
162, 0.003187470512077599, -0.002838778634984553, -0.001198308705360159, 0.0, 0.0, 0.000895090499490621
163, 0.003003621612162028, -0.0027519894863500707, -0.0011059374165039756, 0.0, 0.0, 0.0009147915592353443
164, 0.0028214187765292814, -0.0026669230515815484, -0.0010132292483972707, 0.0, 0.0, 0.0009249706371184038
165, 0.0026413526721893272, -0.002584040409000272, -0.0009202124408461322, 0.0, 0.0, 0.0009257850990826019
166, 0.002463905103009134, -0.002503793759449322, -0.0008269153276712112, 0.0, 0.0, 0.0009174200591138576
167, 0.0022895476926993795, -0.002426625118297646, -0.0007333663280769755, 0.0, 0.0, 0.0009000878147891204
168, 0.002118740596618924, -0.002352965036263536, -0.0006395939379949261, 0.0, 0.0, 0.0008740272076996579
169, 0.001951931245926624, -0.0022832313525842805, -0.0005456267214034801, 0.0, 0.0, 0.0008395029105203286
170, 0.0017895531275209896, -0.0022178279839698287, -0.00045149330162708753, 0.0, 0.0, 0.000796804642696678
171, 0.001632024603109882, -0.0021571437526798345, -0.0003572223526173078, 0.0, 0.0, 0.0007462463169175506
172, 0.0014797477706448789, -0.0021015512569560455, -0.00026284259021842795, 0.0, 0.0, 0.0006881651187307566
173, 0.0013331073712385818, -0.002051405786925484, -0.00016838276342035646, 0.0, 0.0, 0.0006229205218428022
174, 0.0011924697445581398, -0.0020070442889650463, -7.387164560138677e-05, 0.0, 0.0, 0.0005508932418200661
175, 0.001058181835555216, -0.001968784381384942, 2.066197423644621e-05, 0.0, 0.0, 0.00047248413107787773
176, 0.000930570255251509, -0.0019369234241473883, 0.00011518930023676728, 0.0, 0.0, 0.00038811301820496926
177, 0.0008099403981505979, -0.001911737645188624, 0.00020968153846037487, 0.0, 0.0, 0.0002982174948234888
178, 0.0006965756186914477, -0.001893481325756822, 0.0003041099056561344, 0.0, 0.0, 0.0002032516533287734
179, 0.0005907364689965804, -0.0018823860470162464, 0.00039844563802865463, 0.0, 0.0, 0.00010368477898772447
